Date,Close,High,Low,Open,Volume,Price_Change,Percent_Change,MA7,MA30,MA120
2025-01-10,191.41594,195.88139,189.69157,193.6686,26665200,-1.90381,-0.00985,192.06953,185.6484,170.07604
2025-01-13,190.38928,190.55873,186.75115,189.45235,21823700,-1.02666,-0.00536,192.31302,186.38213,170.15734
2025-01-14,189.04367,191.35612,187.69805,190.61854,17174900,-1.34561,-0.00707,192.34577,187.06735,170.22644
2025-01-15,194.91454,195.7219,191.23652,192.46252,21776000,5.87086,0.03106,192.88117,187.95756,170.42036
2025-01-16,192.28313,194.84477,192.18345,193.50913,17815400,-2.63141,-0.0135,192.31729,188.67577,170.63668
2025-01-17,195.36307,196.58907,193.12038,195.89134,27735100,3.07994,0.01602,192.38991,189.50161,170.88099
2025-01-21,197.40642,201.63263,197.22699,198.42311,29971300,2.04335,0.01046,192.97372,190.29501,171.12136
2025-01-22,197.72537,199.82852,196.88811,198.41313,26200600,0.31895,0.00162,193.87507,191.15646,171.35809
2025-01-23,197.33665,199.64912,194.56569,197.49614,26951400,-0.38872,-0.00197,194.86755,191.93625,171.58122
2025-01-24,199.5594,200.24715,197.35658,197.45626,23877500,2.22275,0.01126,196.3698,192.76156,171.82934
2025-01-27,191.18669,196.24022,190.1102,191.78475,41728900,-8.37271,-0.04196,195.83725,192.98217,172.04166
2025-01-28,194.66536,194.84477,190.06036,192.12364,24157900,3.47867,0.0182,196.17757,192.97885,172.34437
2025-01-29,194.77499,196.1505,192.80142,194.9245,18218300,0.10963,0.00056,196.09356,193.09348,172.65594
2025-01-30,200.21725,200.74553,197.02766,197.35659,24354700,5.44226,0.02794,196.4951,193.46061,173.00748
2025-01-31,203.35701,204.81226,201.14422,201.34357,32001100,3.13976,0.01568,197.29962,193.70515,173.35958
2025-02-03,200.57607,203.08788,199.44975,200.03783,27838300,-2.78094,-0.01368,197.7624,193.89819,173.67492
2025-02-04,205.70937,206.37719,202.15096,202.72908,43856400,5.1333,0.02559,198.64096,194.49557,174.04447
2025-02-05,190.70825,192.12364,187.41897,190.4491,70373900,-15.00111,-0.07292,198.57261,194.58927,174.27352
2025-02-06,190.97739,191.47576,188.10674,188.8842,29297400,0.26913,0.00141,198.04576,194.59558,174.53621
2025-02-07,184.7377,190.55872,182.64453,190.42915,49315000,-6.23969,-0.03267,196.61186,194.28692,174.7392
2025-02-10,185.86404,187.58842,185.25603,186.74119,23105600,1.12634,0.0061,194.5614,193.96663,174.93782
2025-02-11,184.71779,186.33252,183.68116,184.42872,21239500,-1.14626,-0.00617,191.89866,193.62508,175.09615
2025-02-12,183.01334,184.50846,181.23912,182.6246,22072600,-1.70445,-0.00923,189.3897,193.32107,175.23605
